symbol, exchange
NYSE,MMM
NYSE,ABT
NYSE,ABBV
NASDAQ,abmd
NYSE,ACN
NASDAQ,atvi
NASDAQ,adbe
NASDAQ,amd
NYSE,AAP
NYSE,AES
NYSE,AMG
NYSE,AFL
NYSE,A
NYSE,APD
NASDAQ,akam
NYSE,ALK
NYSE,ALB
NYSE,ARE
NASDAQ,alxn
NASDAQ,algn
NYSE,ALLE
NYSE,AGN
NYSE,ADS
NYSE,LNT
NYSE,ALL
NASDAQ,googl
NASDAQ,goog
NYSE,MO
NASDAQ,amzn
NYSE,AMCR
NYSE,AEE
NASDAQ,aal
NYSE,AEP
NYSE,AXP
NYSE,AIG
NYSE,AMT
NYSE,AWK
NYSE,AMP
NYSE,ABC
NYSE,AME
NASDAQ,amgn
NYSE,APH
NASDAQ,adi
NASDAQ,anss
NYSE,ANTM
NYSE,AON
NYSE,AOS
NYSE,APA
NYSE,AIV
NASDAQ,aapl
NASDAQ,amat
NYSE,APTV
NYSE,ADM
NYSE,ARNC
NYSE,ANET
NYSE,AJG
NYSE,AIZ
NYSE,ATO
NYSE,T
NASDAQ,adsk
NASDAQ,adp
NYSE,AZO
NYSE,AVB
NYSE,AVY
NYSE,BKR
NYSE,BLL
NYSE,BAC
NYSE,BK
NYSE,BAX
NYSE,BBT
NYSE,BDX
NYSE,BRK.B">BRK
NYSE,BBY
NASDAQ,biib
NYSE,BLK
NYSE,HRB
NYSE,BA
NASDAQ,bkng
NYSE,BWA
NYSE,BXP
NYSE,BSX
NYSE,BMY
NASDAQ,avgo
NYSE,BR
NYSE,BF.B">BF
NASDAQ,chrw
NYSE,COG
NASDAQ,cdns
NYSE,CPB
NYSE,COF
NYSE,CPRI
NYSE,CAH
NYSE,KMX
NYSE,CCL
NYSE,CAT
NYSE,CBRE
NYSE,CBS
NASDAQ,cdw
NYSE,CE
NASDAQ,celg
NYSE,CNC
NYSE,CNP
NYSE,CTL
NASDAQ,cern
NYSE,CF
NYSE,SCHW
NASDAQ,chtr
NYSE,CVX
NYSE,CMG
NYSE,CB
NYSE,CHD
NYSE,CI
NYSE,XEC
NASDAQ,cinf
NASDAQ,ctas
NASDAQ,csco
NYSE,C
NYSE,CFG
NASDAQ,ctxs
NYSE,CLX
NASDAQ,cme
NYSE,CMS
NYSE,KO
NASDAQ,ctsh
NYSE,CL
NASDAQ,cmcsa
NYSE,CMA
NYSE,CAG
NYSE,CXO
NYSE,COP
NYSE,ED
NYSE,STZ
NYSE,COO
NASDAQ,cprt
NYSE,GLW
NYSE,CTVA
NASDAQ,cost
NYSE,COTY
NYSE,CCI
NASDAQ,csx
NYSE,CMI
NYSE,CVS
NYSE,DHI
NYSE,DHR
NYSE,DRI
NYSE,DVA
NYSE,DE
NYSE,DAL
NASDAQ,xray
NYSE,DVN
NASDAQ,fang
NYSE,DLR
NYSE,DFS
NASDAQ,disca
NASDAQ,disck
NASDAQ,dish
NYSE,DG
